R:, G:, B:
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
242, 245, 247
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
229, 231, 233
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
94, 95, 96
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
2, 2, 2
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
201, 203, 205
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
1, 1, 1
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
208, 210, 212
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
3, 3, 3
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
